,_id,ask_hedge,ask_lead,bid_hedge,bid_lead,cancelTime,cancel_order,className,datetime,delta,deltaUSD,direction,edge_ask,edge_bid,exchange,frontID,gatewayName,inited,mm_cancel,mm_threshold,offset,on_order,on_timer,on_trade,orderID,orderTime,order_type,p1,p2,pos_hedge,pos_lead,price,qty_hedge,qty_lead,rawData,send_order,sessionID,skew,status,stop,symbol,symbol_hedge,symbol_lead,target_ask,target_bid,totalVolume,tradeID,tradeTime,tradedVolume,trading,volume,vtOrderID,vtSymbol,vtTradeID,vt_order_id,vt_symbol
1627,59686a41f6daaa248c040843,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:52:49.816,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1628,59686a42f6daaa248c040846,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:52:50.823,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1629,59686a43f6daaa248c04084c,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:52:51.820,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1630,59686a44f6daaa248c04084f,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:52:52.818,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1631,59686a45f6daaa248c040865,47120.0,2.669,47110.0,2.6685,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:52:53.819,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1632,59686a46f6daaa248c040873,47120.0,2.669,47110.0,2.668,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:52:54.855,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1633,59686a47f6daaa248c040875,47120.0,2.669,47110.0,2.668,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:52:55.861,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1634,59686a48f6daaa248c040885,47120.0,2.669,47110.0,2.668,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:52:56.814,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1635,59686a49f6daaa248c04088d,47120.0,2.6685,47110.0,2.668,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:52:57.844,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1636,59686a4af6daaa248c04088f,47120.0,2.669,47110.0,2.668,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:52:58.852,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
1637,59686a4bf6daaa248c040891,47120.0,2.669,47110.0,2.668,,,SHFECrossBorderCMECopperStrategy,2017-07-14 14:52:59.807,0.122322375292,4249.35927121,,-5503.973972,-5501.771616,,,,False,2.0,3.0,,,True,,,,,-5500.0,-5400.0,-21,11.0,,1.0,2.0,,,,10,,,,cu1709,HGU7,2.6755,2.668,,,,,False,,,,,,
