,vtSymbol,fSymbol,vtType,strikePrice,oSymbol,term,benchMark,defa_v
m1709-P-2750,m1709-P-2750,m1709,P,2750,m1709-2750,0.6,2717.2,3
m1709-P-2800,m1709-P-2800,m1709,P,2800,m1709-2800,0.6,2766.6,3
m1709-P-2850,m1709-P-2850,m1709,P,2850,m1709-2850,0.6,2816.0,3
m1709-P-2900,m1709-P-2900,m1709,P,2900,m1709-2900,0.6,2865.41,3
m1709-P-2950,m1709-P-2950,m1709,P,2950,m1709-2950,0.6,2914.81,3
m1709-P-3000,m1709-P-3000,m1709,P,3000,m1709-3000,0.6,2964.22,3
m1709-P-3050,m1709-P-3050,m1709,P,3050,m1709-3050,0.6,3013.62,3
m1709-P-3100,m1709-P-3100,m1709,P,3100,m1709-3100,0.6,3063.02,3
m1709-P-3150,m1709-P-3150,m1709,P,3150,m1709-3150,0.6,3112.43,3
m1709-P-3200,m1709-P-3200,m1709,P,3200,m1709-3200,0.6,3161.83,3
m1711,m1711,m1711,F,,,0.77,,3
m1711-C-2600,m1711-C-2600,m1711,C,2600,m1711-2600,0.77,2560.27,3
m1711-C-2650,m1711-C-2650,m1711,C,2650,m1711-2650,0.77,2609.5,3
m1711-C-2700,m1711-C-2700,m1711,C,2700,m1711-2700,0.77,2658.74,3
m1711-C-2750,m1711-C-2750,m1711,C,2750,m1711-2750,0.77,2707.97,3
m1711-C-2800,m1711-C-2800,m1711,C,2800,m1711-2800,0.77,2757.21,3
m1711-C-2850,m1711-C-2850,m1711,C,2850,m1711-2850,0.77,2806.45,3
m1711-C-2900,m1711-C-2900,m1711,C,2900,m1711-2900,0.77,2855.68,3
m1711-C-2950,m1711-C-2950,m1711,C,2950,m1711-2950,0.77,2904.92,3
m1711-C-3000,m1711-C-3000,m1711,C,3000,m1711-3000,0.77,2954.15,3
m1711-C-3050,m1711-C-3050,m1711,C,3050,m1711-3050,0.77,3003.39,3
m1711-C-3100,m1711-C-3100,m1711,C,3100,m1711-3100,0.77,3052.63,3
m1711-C-3150,m1711-C-3150,m1711,C,3150,m1711-3150,0.77,3101.86,3
m1711-C-3200,m1711-C-3200,m1711,C,3200,m1711-3200,0.77,3151.1,3
m1711-P-2600,m1711-P-2600,m1711,P,2600,m1711-2600,0.77,2560.27,3
m1711-P-2650,m1711-P-2650,m1711,P,2650,m1711-2650,0.77,2609.5,3
m1711-P-2700,m1711-P-2700,m1711,P,2700,m1711-2700,0.77,2658.74,3
m1711-P-2750,m1711-P-2750,m1711,P,2750,m1711-2750,0.77,2707.97,3
m1711-P-2800,m1711-P-2800,m1711,P,2800,m1711-2800,0.77,2757.21,3
m1711-P-2850,m1711-P-2850,m1711,P,2850,m1711-2850,0.77,2806.45,3
m1711-P-2900,m1711-P-2900,m1711,P,2900,m1711-2900,0.77,2855.68,3
m1711-P-2950,m1711-P-2950,m1711,P,2950,m1711-2950,0.77,2904.92,3
m1711-P-3000,m1711-P-3000,m1711,P,3000,m1711-3000,0.77,2954.15,3
m1711-P-3050,m1711-P-3050,m1711,P,3050,m1711-3050,0.77,3003.39,3
m1711-P-3100,m1711-P-3100,m1711,P,3100,m1711-3100,0.77,3052.63,3
m1711-P-3150,m1711-P-3150,m1711,P,3150,m1711-3150,0.77,3101.86,3
m1711-P-3200,m1711-P-3200,m1711,P,3200,m1711-3200,0.77,3151.1,3
