,askPrice1_C,bidPrice1_C,askVolume1_C,bidVolume1_C,spread_C,lastPrice_C,volume_C,openInterest_C,futureSymbol_C,vtType_C,strikePrice_C,vtSymbol_C,oSymbol,term_C,benchMark_C,askPrice1_P,bidPrice1_P,askVolume1_P,bidVolume1_P,spread_P,lastPrice_P,volume_P,openInterest_P,futureSymbol_P,vtType_P,strikePrice_P,vtSymbol_P,term_P,benchMark_P
m1708-C-2950,65.5,51.0,4,8,14.5,8.0,256,13978.0,m1708,C,2950,m1708-C-2950,m1708-2950,0.53,2918.9,239.5,84.0,6,6,155.5,84.0,128,12066.0,m1708,P,2950,m1708-P-2950,0.53,2918.9
m1708-C-3000,11.0,10.5,10,8,0.5,10.5,170,15514.0,m1708,C,3000,m1708-C-3000,m1708-3000,0.53,2968.37,263.0,121.5,3,13,141.5,262.5,136,10356.0,m1708,P,3000,m1708-P-3000,0.53,2968.37
m1708-C-3050,90.0,3.0,6,6,87.0,89.5,252,17426.0,m1708,C,3050,m1708-C-3050,m1708-3050,0.53,3017.84,263.0,251.5,11,1,11.5,251.0,340,12414.0,m1708,P,3050,m1708-P-3050,0.53,3017.84
m1708-C-3100,3.0,1.0,7,15,2.0,3.0,224,45352.0,m1708,C,3100,m1708-C-3100,m1708-3100,0.53,3067.31,342.5,165.5,13,2,177.0,343.0,152,10856.0,m1708,P,3100,m1708-P-3100,0.53,3067.31
m1708-C-3150,102.5,32.0,6,6,70.5,31.5,122,2568.0,m1708,C,3150,m1708-C-3150,m1708-3150,0.53,3116.79,,,,,,,,,m1708,P,3150,m1708-P-3150,0.53,3116.79
m1708-C-3200,90.0,3.5,13,2,86.5,107.5,80,1674.0,m1708,C,3200,m1708-C-3200,m1708-3200,0.53,3166.26,439.5,396.5,6,6,43.0,397.0,136,1316.0,m1708,P,3200,m1708-P-3200,0.53,3166.26
m1708-C-3250,6.5,4.5,2,25,2.0,6.5,304,2458.0,m1708,C,3250,m1708-C-3250,m1708-3250,0.53,3215.73,1.7976931348623157e+308,366.0,0,1,1.7976931348623157e+308,365.5,98,2174.0,m1708,P,3250,m1708-P-3250,0.53,3215.73
m1709-C-2500,482.5,481.5,20,10,1.0,481.5,692,31016.0,m1709,C,2500,m1709-C-2500,m1709-2500,0.61,2469.69,113.0,111.5,10,21,1.5,112.0,810,19026.0,m1709,P,2500,m1709-P-2500,0.61,2469.69
m1709-C-2550,431.0,428.5,15,20,2.5,430.0,2934,18038.0,m1709,C,2550,m1709-C-2550,m1709-2550,0.61,2519.08,133.0,131.5,80,10,1.5,132.5,568,18714.0,m1709,P,2550,m1709-P-2550,0.61,2519.08
m1709-C-2600,401.5,399.5,10,25,2.0,400.5,1550,16254.0,m1709,C,2600,m1709-C-2600,m1709-2600,0.61,2568.47,139.5,138.0,10,30,1.5,140.5,716,16774.0,m1709,P,2600,m1709-P-2600,0.61,2568.47
m1709-C-2650,381.0,379.0,10,15,2.0,376.0,672,13890.0,m1709,C,2650,m1709-C-2650,m1709-2650,0.61,2617.87,161.0,159.5,10,21,1.5,160.0,726,15728.0,m1709,P,2650,m1709-P-2650,0.61,2617.87
m1709-C-2700,329.5,325.5,35,20,4.0,328.0,1030,12310.0,m1709,C,2700,m1709-C-2700,m1709-2700,0.61,2667.26,168.5,166.5,15,31,2.0,167.0,946,11636.0,m1709,P,2700,m1709-P-2700,0.61,2667.26
m1709-C-2750,308.0,304.0,35,20,4.0,307.5,632,11116.0,m1709,C,2750,m1709-C-2750,m1709-2750,0.61,2716.65,189.0,185.5,20,25,3.5,188.5,692,10446.0,m1709,P,2750,m1709-P-2750,0.61,2716.65
m1709-C-2800,277.0,273.0,35,30,4.0,275.5,1554,11038.0,m1709,C,2800,m1709-C-2800,m1709-2800,0.61,2766.05,222.0,218.5,17,25,3.5,222.0,818,9398.0,m1709,P,2800,m1709-P-2800,0.61,2766.05
m1709-C-2850,258.5,254.5,35,20,4.0,256.5,1206,12496.0,m1709,C,2850,m1709-C-2850,m1709-2850,0.61,2815.44,254.0,250.0,50,35,4.0,251.0,1852,13072.0,m1709,P,2850,m1709-P-2850,0.61,2815.44
m1709-C-2900,248.0,246.0,20,25,2.0,248.5,2336,18580.0,m1709,C,2900,m1709-C-2900,m1709-2900,0.61,2864.83,299.5,297.5,35,40,2.0,300.0,3150,15394.0,m1709,P,2900,m1709-P-2900,0.61,2864.83
